Number of hit	Text ID	Context before	Query item	Context after
1	3164077	published , we are taking a somewhat different approach involving	novel	forms of chromatography . Preliminary studies in this area involve
2	3171983	macrocyclic , bicyclic , and spirocyclic units present in the	novel	macrocyclic tetronic acid antitumor antibiotic , kijanimicin , will be
3	3171983	carbocyclic substances . The individual units and their combinations represent	novel	structures with potential biological activity in the antitumor and antibiotic
4	3171557	regulating neoplastic transformation and regression and will lead eventually to	novel	diagnostic and therapeutic approaches for human melanoma . ( N
5	3340975	rheology for several years and has made a number of	novel	contributions to this field . We developed a new laser
6	3274606	and reproduce without restraint . Understanding regA function could provide	novel	insights into approaches for exploring growth control and neoplastic transformation
7	3341160	product inhibition of LpL at interfaces ; g) Design of	novel	reversible and irreversible CEase inhibitors that are cholestery ester analogs
8	3180068	chemistry and recombinant DNA techniques will be used to characterize	novel	growth factors . ( CS ) The first nuclear magnetic
9	3343432	vasculature of developing mammals . This information may suggest a	novel	diagnostic approach to evaluate pulmonaryu microcirculatory function in the child
10	3335934	as they occur in vascular tissue . Further , a	novel	, direct blot method for rapid screening of hybridoma cultures
11	3335232	are largely unknown , I have synthesized a series of	novel	saponins , i.e. , cellobiose - tigogenin , cellobiose -
12	3109794	in pancreatic ascinar cells . We have also demonstrated a	novel	finding : that there is a cyclical pattern to blood
13	3096538	goal is to achieve generalization of the target behavior to	novel	situations . A number of other projects are addressed to
14	3164605	site -specific MuMTV proviral integration and for the presence of	novel	mRNAs containing proviral and cellular sequences using cloned cellular and
15	3163587	compounds which have established or potential use in chemotherapy .	Novel	reaction steps and reaction sequences , diasteroselectivity , enantioselectivity and
16	3163448	diazothiopyrans , their analogs , their hetarylidenes , and related	novel	pyrylium , thiopyrylium , and pyridinium derivatives , ( 3
17	3277850	ligand segregation and receptor recycling occur . A series of	novel	chemical affinity derivatives , capable of specifically tagging the receptor
18	3086662	regulation and activation . To overcome this problem , a	novel	assay system for enzyme activity utilizing mixed micelles will be
19	3151143	the critical trans -acting factors . Affinity chromatography and a	novel	expression strategy will be adapted to isolate the transactive regulatory
20	3151143	neuroendocrine system . The structure and regulatory function of two	novel	basic chromatin associated proteins which are rapidly phosphorylated in response
21	3250240	We have a unique resource of human fetal tissue and	novel	culturing techniques . These studies should thus further characterize how
22	3166553	available to construct additional virus mutants . We propose two	novel	and simple methods that apply standard techniques in bacterial genetics
23	3166582	develop a new digital radiographic imaging system which employs a	novel	scanning x- ray tube , multiple slit assembly and image
24	4689143	, thus tying them all together . Studies of a	novel	3 - 0 sulfatase have been extended . This enzyme
25	3127500	/ 4 antigens and the definition and elucidation of other	novel	alloantigens encoded within the Qa / Tla region . The
26	3127500	to generate monoclonal reagents to the previously defined and to	novel	Qa / Tla gene products . These proposed experiments should
27	3127591	active sites , using a number of modified substrates ,	novel	inhibitors , and potential effectors . These studies should lead
28	4693354	When the eyes need to change fixation to look at	novel	objects , or when the eyes must follow smoothly moving
29	3096785	basis of this program project grant . These approaches offer	novel	perspectives for neurobiology and guide out attempts to understand and
30	3313960	regulator of gonadotropin action are likely to generate significant and	novel	insights into the endocrine control of ovarian function . Such
31	3177296	We propose a research plan to isolate and characterize such	novel	human oncogenic sequences . First we will transform early passage
32	3177303	, and might eventually be exploited in the search for	novel	therapeutic measures for cancer . The objective of this proposal
33	3154407	septic shock . Particular emphasis will be placed on the	novel	role of macrophage secretion products ( monokines ) and their
34	3167443	is to open up new synthetic methods for preparation of	novel	heterocyclic compounds . Intramolecular dipolar cycloadditions of nitrones , nitrile
35	3171525	activity . In addition , preliminary crystallographic studies of a	novel	indolyl - 3 - alkane Alpha-hydroxylase from Pseudomonas XA will
